title,type,source,episodes,status,rating,background,producer,studio,duration_min,aired_from_year,genre
Hataraku Maou-sama!,TV,Light novel,13,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,White Fox,24,2013,Comedy
D.C.II S.S.: Da Capo II Second Season,TV,Visual novel,13,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,feel.,24,2008,Fantasy
Kurogane no Linebarrels Picture Drama,Special,Manga,9,Finished Airing,None,,,Gonzo,5,2009,Mecha
Bakuretsu Tenshi: Infinity,OVA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,Gonzo,27,2007,Action
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Dentsu,"Satelight, A-1 Pictures",12,2013,Fantasy
Dominion,OVA,Manga,4,Finished Airing,PG-13 - Teens 13 or older,,Toshiba Entertainment,Agent 21,36,1988,Sci-Fi
Darker than Black: Kuro no Keiyakusha,TV,Original,25,Finished Airing,R - 17+ (violence & profanity),"Darker than Black was awarded Best Original Anime of The Year by GoGoplex, a popular magazine for teens.æ In the 2007 Japan Media Arts Festival, it was one of the jury&#039;s recommendations from the category ""Animation Division/Long Animation.""On January 21, 2016, it was announced that Funimation Entertainment, the North American distributor for the anime, no longer holds the license for this season.",Aniplex,Bones,24,2007,Action
Teekyuu,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,MAPPA,2,2012,Comedy
Aoi Bungaku Series,TV,Novel,12,Finished Airing,R - 17+ (violence & profanity),,Movic,Madhouse,22,2009,Psychological
Natsuyuki Rendezvous,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,Fuji TV,Doga Kobo,24,2012,Supernatural
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Movie,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Sunrise,100,2006,Military
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,OVA,Light novel,1,Finished Airing,G - All Ages,,,Studio Pierrot,70,1991,Fantasy
Mai-Otome Special: Otome no Inori,Special,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,Sunrise,5,2010,School
Bakuretsu Hunters OVA,OVA,Manga,3,Finished Airing,R+ - Mild Nudity,,Tokyo Kids,"Xebec, Production Reed",28,1996,Action
Ontama!,ONA,Manga,5,Finished Airing,G - All Ages,,,Encourage Films,11,2009,Slice of Life
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,,Studio Hibari,Lerche,24,2017,Drama
Douluo Dalu,ONA,Novel,26,Currently Airing,PG-13 - Teens 13 or older,"Douluo Dalu is an adaptation of the Chinese web novel of the same title, written by Tang Jia San Shao (____).",Tencent Penguin Pictures,Sparkly Key Animation Studio,20,2018,Action
Kore ga UFO da! Soratobu Enban,Movie,Original,1,Finished Airing,PG - Children,,,Toei Animation,15,1975,Sci-Fi
Arakawa Under the Bridge x Bridge,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,Square Enix,Shaft,23,2010,Comedy
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,Movie,Light novel,1,Finished Airing,R - 17+ (violence & profanity),,,A.C.G.T.,29,2005,Adventure
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,OVA,Manga,2,Finished Airing,R - 17+ (violence & profanity),,,Toei Animation,27,2012,Mystery
Shin Strange+ Special,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Dream Creation,Seven,0,2014,Slice of Life
School Days,TV,Visual novel,12,Finished Airing,R+ - Mild Nudity,School Days is based on the visual novel of the same name.,Avex Entertainment,TNK,25,2007,Harem
Gaist Crusher,TV,Game,51,Finished Airing,PG - Children,,TV Tokyo,Studio Pierrot,20,2013,Action
Initial D Fourth Stage,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,,OB Planning,A.C.G.T.,27,2004,Action
Hetalia Axis Powers,ONA,Web manga,52,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,Studio Deen,5,2009,Comedy
Mugen Kouro,ONA,Game,4,Finished Airing,PG-13 - Teens 13 or older,,,"Gonzo, Production I.G",2,2008,Action
Wind: A Breath of Heart (TV),TV,Visual novel,13,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,Radix,12,2004,Drama
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,ONA,Other,1,Finished Airing,G - All Ages,,,DLE,2,2016,Comedy
Ultra B: Black Hole kara no Dokusaisha BB!!,Movie,Manga,1,Finished Airing,G - All Ages,,,Shin-Ei Animation,20,1988,Adventure
Brave Witches: Petersburg Daisenryaku,Special,Original,1,Finished Airing,R+ - Mild Nudity,,,Silver Link.,25,2017,Action
Ginga Tetsudou 999: Glass no Clair,Movie,Manga,1,Finished Airing,G - All Ages,,,Toei Animation,15,1980,Drama
Takarajima,TV,Novel,26,Finished Airing,PG-13 - Teens 13 or older,"This is an anime adaptation of the classic novel ""Treasure Island"" written by Scottish novelist Robert Louis Stevenson in 1882.",Tokyo Movie Shinsha,"Madhouse, TMS Entertainment",24,1978,Adventure
Gundam Build Fighters: GM no Gyakushuu,ONA,Original,1,Finished Airing,G - All Ages,,,Sunrise,32,2017,Action
Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Kitty Films,Studio Pierrot,95,1984,Action
Kaette Kite yoo Toyama kara,ONA,Original,4,Finished Airing,G - All Ages,,,DLE,3,2015,Slice of Life
Kuragehime: Eiyuu Retsuden_,Special,Manga,4,Finished Airing,PG-13 - Teens 13 or older,,Asmik Ace Entertainment,Brain&#039;s Base,5,2011,Slice of Life
Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,Original,1,Finished Airing,G - All Ages,,Shochiku,TYO Animations,51,2015,Comedy
One Piece Movie 1,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,One Piece (Movie) was aired in theaters as a double feature alongside Digimon Adventure: Bokura no War Game as part of Toei&#039;s Spring 2000 Anime fair.,,Toei Animation,50,2000,Action
Ergo Proxy,TV,Original,23,Finished Airing,R - 17+ (violence & profanity),"Episode 1 was previewed on WOWOW on February 5, 2006. Regular broadcasting began on February 25, 2006.",Geneon Universal Entertainment,Manglobe,25,2006,Sci-Fi
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Movie,Card game,1,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,J.C.Staff,70,2016,Comedy
xxxHOLiC Shunmuki,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,Kodansha,Production I.G,26,2009,Mystery
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Mainichi Broadcasting System,Studio Deen,24,2017,Drama
Choujuushin Gravion Zwei,TV,Original,12,Finished Airing,R+ - Mild Nudity,,,Gonzo,23,2004,Adventure
Inyouchuu The Animation,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,Himajin Planning,Suzuki Mirano,29,2006,Hentai
Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,Manga,1,Finished Airing,R+ - Mild Nudity,,Yahoo! Japan,Studio 4ÁC,76,2012,Action
Dragon Ball Z Movie 14: Kami to Kami,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,"The story of Dragon Ball Z Movie 14: Kami to Kami was later adapted into the Battle of Gods Saga in Dragon Ball Super. Unlike most other Dragon Ball Z movies, this film is considered part of the anime&#039;s canon. It was also the first Dragon Ball film to be released theatrically in 17 years.",,Toei Animation,85,2013,Action
Guin Saga,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Satelight,24,2009,Adventure
Kuroshitsuji II,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),"Kuroshitsuji II is the sequel to Kuroshitsuji. The second season features two new main characters: Earl Alois Trancy and his butler Claude Faustus. Many characters from the previous season return as well, including Ciel Phantomhive and Sebastian Michaelis.The second season is formatted similar to its predecessor, airing on ten different stations. The second season had an official magazine, Black Tabloid, released before its on-air date on July 1, 2010. It was been compiled onto a total of nine DVD releases. All 12 episodes share the theme song SHIVER for the opening, but two different animation sequences accompany it; the first ran from episodes 25-32, while the second ran from episodes 33-36.(Source: Kuroshitsuji Wiki)",Aniplex,A-1 Pictures,24,2010,Action
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,TV,Web manga,0,Currently Airing,R+ - Mild Nudity,,Picante Circus,Magic Bus,3,2018,Ecchi
E&#039;s Otherwise,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Studio Pierrot,23,2003,Adventure
Code Geass: Hangyaku no Lelouch I - Koudou,Movie,Original,1,Finished Airing,R+ - Mild Nudity,,,Sunrise,135,2017,Action
Area 88,OVA,Manga,3,Finished Airing,R+ - Mild Nudity,,,Studio Pierrot,65,1985,Action
Sakura Internet,ONA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,White Fox,3,2017,Drama
Highschool of the Dead: Drifters of the Dead,OVA,Manga,1,Finished Airing,R+ - Mild Nudity,,Showgate,Madhouse,16,2011,Ecchi
Juuou Mujin no Fafnir,TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,Juuou Mujin no Fafnir adapts the first 3 novels of Tsukasa&#039;s light novel series of the same title.,TBS,Diomedea,24,2015,Fantasy
Ristorante Paradiso,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,Fuji TV,David Production,22,2009,Drama
Dragon Quest: Dai no Daibouken (1991),Movie,Game,1,Finished Airing,G - All Ages,,,Toei Animation,50,1991,Adventure
Smile Precure!,TV,Original,48,Finished Airing,G - All Ages,,Saban Brands,Toei Animation,24,2012,Action
Katsugeki/Touken Ranbu,TV,Card game,13,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,ufotable,23,2017,Action
Hunter x Hunter (2011),TV,Manga,148,Finished Airing,PG-13 - Teens 13 or older,,VAP,Madhouse,23,2011,Action
Non Non Biyori Repeat,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"Episode 1 was previewed at a screening at Hibiya Kokaido in Tokyo on June 14, 2015. Regular broadcasting began on July 7, 2015.",TV Tokyo,Silver Link.,23,2015,Comedy
Yagami-kun no Katei no Jijou,OVA,Manga,3,Finished Airing,PG-13 - Teens 13 or older,,Kitty Films,Production I.G,30,1990,Comedy
Natsume Yuujinchou Go,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Shuka,23,2016,Slice of Life
GintamaÁ: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Bandai Namco Pictures,12,2015,Action
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,Game,11,Finished Airing,R - 17+ (violence & profanity),Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen is an original story following the characters of the visual novel Super Danganronpa 2: Sayonara Zetsubou Gakuen before they arrived at the island. It is a prequel to SDR2.,,Lerche,23,2016,Action
Rozen Maiden,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Mellow Head,Nomad,24,2004,Action
Phantom: Requiem for the Phantom,TV,Visual novel,26,Finished Airing,R - 17+ (violence & profanity),,Genco,Bee Train,24,2009,Action
Futari Ecchi,OVA,Manga,4,Finished Airing,R+ - Mild Nudity,"The Futari Ecchi OVA covers the first few chapters of the manga adaptation, although the anime is less explicit than the source material. Media Blasters acquired licensing rights for North American home video distribution, which they announced at Anime Expo in 2007.",Half H.P Studio,Chaos Project,28,2002,Comedy
Kyoto Animation: Hana-hen,Special,Original,1,Finished Airing,G - All Ages,,,Kyoto Animation,0.5,2010,Slice of Life
Initial D Battle Stage,OVA,Manga,1,Finished Airing,G - All Ages,,OB Planning,Pastel,52,2002,Action
Cheburashka Arere?,TV,Book,26,Finished Airing,G - All Ages,,Dream Force,GoHands,3,2009,Kids
Devil May Cry,TV,Game,12,Finished Airing,R - 17+ (violence & profanity),,Media Factory,Madhouse,24,2007,Action
Hyakka Ryouran: Samurai Girls,TV,Light novel,12,Finished Airing,R+ - Mild Nudity,"Pre-airing on 4th of September, regular airing started on the 4th of October. Extended version of episode 12 is included in this entry.",Genco,Arms,24,2010,Action
Hanayamata,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Madhouse,24,2014,Slice of Life
3D Kanojo: Real Girl,TV,Manga,12,Currently Airing,PG-13 - Teens 13 or older,,,Hoods Entertainment,22,2018,Romance
Harmony,Movie,Novel,1,Finished Airing,R+ - Mild Nudity,"Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy.",Aniplex,Studio 4ÁC,119,2015,Sci-Fi
Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,Manga,6,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Shin-Ei Animation,26,2002,Comedy
Mai-HiME: Kuro no Mai/Saigo no Bansan,Special,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,Sunrise,4,2010,Comedy
Slow Start: Web Yokoku Movie,ONA,4-koma manga,11,Finished Airing,PG-13 - Teens 13 or older,,,A-1 Pictures,0.633333333,2018,Slice of Life
Kikou Senki Dragonar,TV,Original,48,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Sunrise,24,1987,Sci-Fi
Gin no Saji 2nd Season,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,A-1 Pictures,24,2014,Comedy
Uma Musume: Pretty Derby (TV),TV,Game,0,Currently Airing,PG-13 - Teens 13 or older,,Lantis,P.A. Works,23,2018,Sports
Kokoro Toshokan,TV,Manga,13,Finished Airing,PG - Children,,Victor Entertainment,Studio Deen,24,2001,Comedy
Soukyuu no Fafner: Right of Left - Single Program,Special,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,"Production I.G, Xebec",51,2005,Action
New Initial D Movie: Legend 3 - Mugen,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Shochiku,"SANZIGEN, LIDENFILMS",60,2016,Cars
Seikai no Danshou: Tanjou,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,25,2000,Military
Detective Conan Movie 11: Jolly Roger in the Deep Azure,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Big Bang,TMS Entertainment,105,2007,Adventure
Hitoriga The Animation,OVA,Manga,4,Finished Airing,Rx - Hentai,,Pink Pineapple,Office Take Off,28,2009,Hentai
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,Other,1,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Shaft,90,2017,Drama
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,TV,Light novel,12,Finished Airing,PG - Children,,Media Factory,ufotable,24,2003,Action
Ore no Imouto ga Konnani Kawaii Wake ga Nai,TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,"Ore no Imouto ga Konnani Kawaii Wake ga Nai also has a drama CD, a radio show and video games based on the franchise.",Aniplex,AIC Build,24,2010,Slice of Life
Futari wa Precure: Splash_Star Movie - Tick Tack Kiki Ippatsu!,Movie,Original,1,Finished Airing,G - All Ages,,,Toei Animation,51,2006,Magic
Yamato Nadeshiko Shichihenge_,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,,Nippon Animation,24,2006,Comedy
Aa! Megami-sama!: Sorezore no Tsubasa,TV,Manga,22,Finished Airing,PG-13 - Teens 13 or older,,TBS,AIC,24,2006,Comedy
Hakata Tonkotsu Ramens,TV,Novel,12,Finished Airing,R - 17+ (violence & profanity),,Sotsu,Satelight,23,2018,Action
Monster Farm: Enbanseki no Himitsu,TV,Game,48,Finished Airing,PG-13 - Teens 13 or older,,,TMS Entertainment,24,1999,Action
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,TV,Visual novel,13,Finished Airing,PG-13 - Teens 13 or older,,,Artland,25,2007,Harem
Blame! Special,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Group TAC,4,2003,Mecha
Shounen Santa no Daibouken!,TV,Novel,24,Finished Airing,G - All Ages,,TBS,Studio Deen,23,1996,Adventure
Abarenbou Rikishi!! Matsutarou,TV,Manga,23,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,22,2014,Sports
Shingeki no Kyojin Picture Drama,Special,Manga,9,Finished Airing,PG-13 - Teens 13 or older,,Production I.G,Studio Moriken,10,2013,Parody
Dokkiri Doctor,TV,Manga,26,Finished Airing,None,,,Studio Pierrot,25,1998,Comedy
Oshiri Kajiri Mushi (TV) 4th Season,TV,Music,10,Finished Airing,G - All Ages,,NHK,Kinema Citrus,5,2015,Comedy
Minami-ke Okaeri,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,,Asread,24,2009,Slice of Life
Usavich,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,,Kanaban Graphics,1,2018,Adventure
Jikuu Tantei Genshi-kun,TV,Original,39,Finished Airing,PG - Children,,Nihon Ad Systems,Group TAC,25,1998,Adventure
Hyakka Ryouran: Samurai Bride Specials,Special,Light novel,6,Finished Airing,R+ - Mild Nudity,,Genco,Arms,3,2013,Ecchi
Pikotarou no Lullaby Lullaby,ONA,Original,3,Finished Airing,G - All Ages,,,DLE,2,2017,Comedy
Jungle Taitei Movie (1997),Movie,Manga,1,Finished Airing,G - All Ages,,Shochiku,Tezuka Productions,94,1997,Adventure
Rio: Rainbow Gate!,TV,Other,13,Finished Airing,PG-13 - Teens 13 or older,,Avex Entertainment,Xebec,23,2011,Game
Urusei Yatsura Movie 6: Itsudatte My Darling,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Kitty Films,Madhouse,77,1991,Action
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,ONA,Visual novel,10,Finished Airing,PG-13 - Teens 13 or older,,,ChuChu,7,2009,Comedy
JK to Ero Giin Sensei,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,,PoRO,29,2012,Hentai
Code Geass: Hangyaku no Lelouch R2 Picture Drama,Special,Original,9,Finished Airing,PG-13 - Teens 13 or older,,,Sunrise,5,2008,Comedy
Meisou! Underworld,ONA,Manga,1,Finished Airing,R - 17+ (violence & profanity),,,Studio Pierrot,2,2014,Action
Kono Subarashii Sekai ni Shukufuku wo! OVA,OVA,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Half H.P Studio,Studio Deen,23,2016,Adventure
Qin Shi Ming Yue: Bai Bu Fei Jian,TV,Novel,10,Finished Airing,PG-13 - Teens 13 or older,,,Sparkly Key Animation Studio,22,2007,Action
Tight-rope,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,,PrimeTime,23,2012,Romance
Wagamama_Fairy Mirumo de Pon!,TV,Manga,172,Finished Airing,G - All Ages,,Trinity Sound,Studio Hibari,21,2002,Kids
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,Original,25,Finished Airing,R - 17+ (violence & profanity),,Sotsu,Sunrise,24,2016,Action
Nyuru Nyuru!! Kakusen-kun 2nd Season,TV,Original,13,Finished Airing,G - All Ages,,,DLE,5,2015,Comedy
Sister Princess: Re Pure,TV,Light novel,13,Finished Airing,PG-13 - Teens 13 or older,,,Zexcs,23,2002,Drama
Chicchana Yukitsukai Sugar,TV,Original,24,Finished Airing,PG - Children,,Kadokawa Shoten,J.C.Staff,24,2001,Comedy
Mai-Otome Zwei,OVA,Original,4,Finished Airing,R+ - Mild Nudity,,Bandai Visual,Sunrise,30,2006,Action
Master Keaton OVA,OVA,Manga,15,Finished Airing,R - 17+ (violence & profanity),,VAP,Madhouse,24,1999,Adventure
Layton Kyouju to Eien no Utahime,Movie,Game,1,Finished Airing,PG - Children,,,"OLM, P.A. Works",99,2009,Mystery
Precure All Stars DX the Dance Live_: Miracle Dance Stage e Youkoso,OVA,Original,1,Finished Airing,G - All Ages,,,Toei Animation,14,2011,Fantasy
Tobidase! Machine Hiryuu,TV,Original,21,Finished Airing,None,,,"Toei Animation, Tatsunoko Production",25,1977,Cars
Shounan Bakusouzoku,OVA,Manga,12,Finished Airing,R - 17+ (violence & profanity),,,Toei Animation,52,1986,Action
Brigadoon: Marin to Melan,TV,Original,26,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,24,2000,Adventure
Corpse Party: Missing Footage,OVA,Visual novel,1,Finished Airing,R+ - Mild Nudity,,,Asread,11,2012,Horror
One Piece 3D: Mugiwara Chase,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,30,2011,Action
Kitakaze no Kureta Table-kake,Movie,Other,1,Finished Airing,G - All Ages,,Gakken,Gakken Eigakyoku,13,1967,Fantasy
Paboo & Mojies,TV,Original,52,Finished Airing,G - All Ages,,,Dongwoo A&amp;E,11,2012,Kids
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,Movie,Game,1,Finished Airing,PG - Children,,Studio Jack,OLM,98,2004,Action
Hikari no Densetsu,TV,Manga,19,Finished Airing,PG - Children,,,Tatsunoko Production,24,1986,Music
Haiyore! Nyaruko-san F,OVA,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Xebec,27,2015,Sci-Fi
Kemeko Deluxe!,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Geneon Universal Entertainment,Hal Film Maker,24,2008,Action
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,Movie,Original,1,Finished Airing,PG - Children,,Sotsu,Sunrise,13,2010,Action
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,Movie,Original,1,Finished Airing,G - All Ages,,ABC Animation,Toei Animation,64,2016,Action
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,TV,Card game,52,Finished Airing,G - All Ages,,TV Tokyo,TMS Entertainment,22,2005,Fantasy
Yomigaeru Sora: Rescue Wings,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,J.C.Staff,23,2006,Drama
"Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode",Special,Original,1,Finished Airing,G - All Ages,,,TYO Animations,24,2012,Comedy
Karneval (TV),TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,"Frontier Works Inc. released a drama CD titled Karneval Circus on March 25, 2010. An internet radio show premiered on animate.tv on January 25, 2013, with the character voice of Nai, Hiro Shimono, as the host.",Bandai Visual,Manglobe,24,2013,Action
Military!,TV,4-koma manga,12,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Creators in Pack,3,2015,Ecchi
Taka no Tsume 7: Joou Heika no Jobuubu,Movie,Original,1,Finished Airing,G - All Ages,,,DLE,44,2014,Comedy
Cardfight!! Vanguard: Link Joker-hen,TV,Original,59,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,TMS Entertainment,24,2013,Action
Detective Conan Movie 02: The Fourteenth Target,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,TMS Entertainment,99,1998,Adventure
DRAMAtical Murder OVA: Data_xx_Transitory,Special,Visual novel,1,Finished Airing,R - 17+ (violence & profanity),,Nitroplus,NAZ,24,2014,Psychological
Tasogare Otome x Amnesia,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),,Square Enix,Silver Link.,23,2012,Horror
Yuuki Yuuna wa Yuushabu Shozoku 3,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,W-Toon Studio,8,2017,Slice of Life
Teekyuu 9,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Millepensee,2,2017,Comedy
Hidamari Sketch x 365 Recap,Special,4-koma manga,1,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Shaft,50,2009,Slice of Life
Gokusen,TV,Manga,13,Finished Airing,R - 17+ (violence & profanity),,VAP,Madhouse,23,2004,Slice of Life
Kemonozume,TV,Original,13,Finished Airing,R+ - Mild Nudity,,WOWOW,Madhouse,23,2006,Action
Ikoku Meiro no Crois_e Picture Drama,Special,Manga,6,Finished Airing,G - All Ages,,,Satelight,6,2011,Historical
Mahou Shoujo Madoka_Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Movie,Other,4,Finished Airing,G - All Ages,,,Shaft,3,2013,Comedy
Bleach Movie 1: Memories of Nobody,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Studio Pierrot,93,2006,Action
Fuuka,TV,Manga,12,Finished Airing,R+ - Mild Nudity,,Studio Tulip,Diomedea,24,2017,Drama
Level E,TV,Manga,13,Finished Airing,R - 17+ (violence & profanity),,Aniplex,"Studio Pierrot, David Production",24,2011,Sci-Fi
Imouto to Sono Yuujin ga Ero Sugite Ore no Kokan ga Yabai,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,,Collaboration Works,29,2016,Hentai
Hi_sCoool! SeHa Girls Special,Special,Other,1,Finished Airing,PG-13 - Teens 13 or older,,Sega,TMS Entertainment,10,2016,Comedy
Koikishi Purely_Kiss The Animation: Special Edition,Special,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,Pink Pineapple,Seven,41,2017,Romance
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,Novel,1,Finished Airing,PG-13 - Teens 13 or older,,Tokuma Shoten,Magic Bus,90,1993,Action
Mobile Suit Gundam Unicorn,OVA,Novel,7,Finished Airing,PG-13 - Teens 13 or older,"Mobile Suit Gundam Unicorn was awarded the Tokyo Anime Award in the OVA category twice in a row, in 2011 and 2012.",Bandai Visual,Sunrise,62,2010,Action
Tsuma no Haha Sayuri,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,Digital Works,Y.O.U.C,30,2011,Hentai
Ao Oni The Animation (Movie),Movie,Game,1,Finished Airing,PG-13 - Teens 13 or older,,,Studio Deen,60,2017,Mystery
Yami Shibai,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,ILCA,4,2013,Dementia
Bloodivores,TV,Web manga,12,Finished Airing,R - 17+ (violence & profanity),Bloodivores is based on the Chinese Webcomic Space-Time Prisoners by Bai Xiao,Emon,"Creators in Pack, Namu Animation",24,2016,Action
Hunter x Hunter: Greed Island Final,OVA,Manga,14,Finished Airing,PG-13 - Teens 13 or older,,,Nippon Animation,24,2004,Action
Kamisama no Inai Nichiyoubi,TV,Light novel,12,Finished Airing,R - 17+ (violence & profanity),"Kamisama no Inai Nichiyoubi adapts the first 5 novels of Kimihito Irie&#039;s light novel series of the same title.Episode 1 was streamed in advance on DOCOMO d animestore on June 29, 2013. Regular broadcasting began on July 7, 2013. The series can be streamed on Crunchyroll or Anime Network.",Starchild Records,Madhouse,23,2013,Fantasy
Eureka Seven AO,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,"Eureka Seven Ao premiered with the launch of the new digital over-the-air television system NOTTV on April 1.The series finished airing in its time slot with episode 22 on Sept 28, 2012.æ Episodes 23 & 24 were aired together on Nov 20, 2012.",Bandai Visual,Bones,24,2012,Action
Mad_Bull 34,OVA,Manga,4,Finished Airing,R+ - Mild Nudity,,Pony Canyon,Magic Bus,45,1990,Action
Daikuu Maryuu Gaiking,TV,Original,44,Finished Airing,PG-13 - Teens 13 or older,,Dynamic Planning,Toei Animation,23,1976,Adventure
Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,TMS Entertainment,108,2003,Adventure
Muteki Robo Trider G7,TV,Original,50,Finished Airing,G - All Ages,,Sotsu,Sunrise,24,1980,Comedy
